Borough,Metric Score
Manhattan,4.01
Manhattan,3.77
Manhattan,2.9
Manhattan,3.16
Manhattan,2.72
Manhattan,3.61
Manhattan,2.46
Manhattan,2.77
Manhattan,2.03
Manhattan,4.37
Manhattan,4.8
Manhattan,4.39
Manhattan,3.38
Manhattan,2.13
Manhattan,1.14
Manhattan,4.99
Manhattan,3.4
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.76
Manhattan,4.59
Manhattan,4.99
Manhattan,3.7
Manhattan,1.89
Manhattan,2.74
Manhattan,4.58
Manhattan,1.38
Manhattan,2.18
Manhattan,2.26
Manhattan,4.99
Manhattan,3.68
Manhattan,3.46
Manhattan,2.52
Manhattan,3.62
Manhattan,3.5
Manhattan,4.99
Bronx,2.98
Bronx,3.33
Bronx,3.56
Manhattan,1.0
Manhattan,3.0
Manhattan,4.99
Manhattan,3.35
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.79
Manhattan,4.73
Manhattan,4.35
Manhattan,4.99
Manhattan,3.88
Manhattan,4.79
Manhattan,3.46
Manhattan,4.44
Manhattan,4.99
Manhattan,3.16
Manhattan,2.41
Manhattan,4.6
Manhattan,1.92
Manhattan,4.99
Manhattan,3.4
Manhattan,4.5
Manhattan,4.64
Manhattan,3.57
Manhattan,3.89
Manhattan,3.48
Manhattan,3.56
Manhattan,3.72
Manhattan,4.99
Manhattan,2.92
Manhattan,3.05
Manhattan,3.02
Manhattan,4.17
Manhattan,3.46
Manhattan,1.76
Manhattan,3.9
Manhattan,4.05
Manhattan,3.55
Manhattan,2.47
Manhattan,4.0
Manhattan,4.0
Manhattan,3.26
Manhattan,1.69
Manhattan,1.67
Manhattan,3.67
Manhattan,1.69
Manhattan,4.52
Manhattan,4.12
Manhattan,3.64
Manhattan,1.0
Manhattan,2.0
Manhattan,1.76
Manhattan,2.4
Manhattan,3.71
Manhattan,1.45
Manhattan,1.0
Manhattan,4.7
Manhattan,4.76
Manhattan,4.43
Manhattan,2.37
Manhattan,1.43
Manhattan,1.54
Manhattan,1.17
