dbn,school_name,borough,avg_metric_score,n_metric_rows
02M442,"Ballet Tech, NYC Public School for Dance",Manhattan,4.305698924731183,93
02M449,Vanguard High School,Manhattan,2.9785443037974684,158
02M459,Manhattan International High School,Manhattan,3.2310526315789474,152
02M475,Stuyvesant High School,Manhattan,4.6935625,160
02M418,Millennium High School,Manhattan,4.487575757575757,165
02M422,Quest to Learn,Manhattan,2.6773065015479878,323
02M439,Manhattan Village Academy,Manhattan,4.614060606060606,165
02M529,Jacqueline Kennedy Onassis High School,Manhattan,2.4935416666666668,192
02M542,Manhattan Bridges High School,Manhattan,4.171846153846154,195
02M544,Independence High School,Manhattan,2.5283783783783784,185
75M035,P.S. 035,Manhattan,3.354761904761905,21
75M226,P.S. M226,Manhattan,3.196190476190476,21
02M586,Harvey Milk High School,Manhattan,3.1016379310344826,116
75X010,P.S. X010,Bronx,3.599047619047619,21
01M019,P.S. 019 Asher Levy,Manhattan,3.59,74
01M015,P.S. 015 Roberto Clemente,Manhattan,3.9144329896907215,97
01M020,P.S. 020 Anna Silver,Manhattan,2.4398305084745764,118
01M034,P.S. 034 Franklin D. Roosevelt,Manhattan,2.718125,160
01M063,The STAR Academy - P.S.63,Manhattan,3.6354054054054052,74
01M064,P.S. 064 Robert Simon,Manhattan,3.1016842105263156,95
01M110,P.S. 110 Florence Nightingale,Manhattan,3.5748101265822787,79
75X811,P.S. X811,Bronx,2.603809523809524,21
01M134,P.S. 134 Henrietta Szold,Manhattan,2.9404504504504505,111
01M140,P.S. 140 Nathan Straus,Manhattan,2.7232386363636363,176
01M142,P.S. 142 Amalia Castro,Manhattan,3.3770588235294117,102
01M184,P.S. 184m Shuang Wen,Manhattan,4.1335,140
01M188,P.S. 188 The Island School,Manhattan,3.6741520467836257,171
01M292,Orchard Collegiate Academy,Manhattan,3.2644549763033175,211
01M315,The East Village Community School,Manhattan,3.3020238095238095,84
01M332,University Neighborhood Middle School,Manhattan,3.002302631578947,152
01M361,The Children's Workshop School,Manhattan,2.7447191011235956,89
01M363,Neighborhood School,Manhattan,2.91625,32
01M364,Earth School,Manhattan,2.588979591836735,49
01M378,School for Global Leaders,Manhattan,3.387440476190476,168
01M448,University Neighborhood High School,Manhattan,4.21948717948718,195
01M450,East Side Community School,Manhattan,3.7102713178294575,258
