dbn,school_name,borough,report_type,avg_metric_score,n_metric_rows
24Q049,P.S. 049 Dorothy Bonawit Kole,Queens,EMS,3.204066666666667,150
24Q093,I.S. 093 Ridgewood,Queens,EMS,3.243425414364641,181
24Q239,P.S. 239,Queens,EMS,3.0905185185185187,135
24Q330,Helen M. Marshall School,Queens,EMS,3.0043065693430657,137
25Q194,J.H.S. 194 William Carr,Queens,EMS,3.467763157894737,152
26Q266,P.S./I.S. 266,Queens,EMS,3.3464285714285715,140
27Q043,P.S. 043,Queens,EMS,2.3649132947976876,173
27Q210,J.H.S. 210 Elizabeth Blackwell,Queens,EMS,2.8941847826086957,184
27Q475,Richmond Hill High School,Queens,HS,2.9724875621890545,201
75Q009,P.S. 009,Queens,D75,3.4628571428571426,21
75Q233,P.S. Q233,Queens,D75,2.684285714285714,21
75Q255,P.S. Q255,Queens,D75,3.160952380952381,21
75Q256,P.S. Q256,Queens,D75,3.236190476190476,21
75Q277,The Riverview School,Queens,D75,3.5623809523809524,21
75Q993,P.S. Q993,Queens,D75,2.9371428571428573,21
75X010,P.S. X010,Bronx,D75,3.599047619047619,21
75X811,P.S. X811,Bronx,D75,2.603809523809524,21
09X339,I.S. 339,Bronx,EMS,3.338111111111111,180
12X341,Accion Academy,Bronx,EMS,3.1679329608938547,179
26Q415,Benjamin N. Cardozo High School,Queens,HS,3.1676,175
27Q183,P.S. 183 Dr. Richard R. Green,Queens,EMS,2.617,170
27Q232,P.S. 232 Lindenwood,Queens,EMS,3.3065625,160
27Q333,Goldie Maple Academy,Queens,EMS,2.4205755395683455,139
28Q358,M.S. 358,Queens,EMS,3.496148648648649,148
29Q034,P.S. 034 John Harvard,Queens,EMS,3.0207438016528925,121
30Q078,P.S./I.S. 78Q,Queens,EMS,3.6270714285714285,140
30Q112,P.S. 112 Dutch Kills,Queens,EMS,2.862089552238806,134
30Q235,Academy for New Americans,Queens,EMS,3.3156363636363637,110
12X316,Kappa III,Bronx,EMS,3.369666666666667,180
07X001,P.S. 001 Courtlandt School,Bronx,EMS,2.3711029411764706,136
07X005,P.S. 5 Port Morris,Bronx,EMS,2.7969142857142857,175
07X018,P.S. 018 John Peter Zenger,Bronx,EMS,2.5004761904761903,126
07X025,P.S. 025 Bilingual School,Bronx,EMS,3.418880597014925,134
07X029,P.S./M.S. 029 Melrose School,Bronx,EMS,2.4646153846153847,182
07X030,P.S. 030 Wilton,Bronx,EMS,2.5455072463768116,138
07X031,P.S./M.S. 031 The William Lloyd Garrison,Bronx,EMS,2.6093296089385474,179
07X043,P.S. 043 Jonas Bronck,Bronx,EMS,3.1291338582677164,127
07X049,P.S. 049 Willis Avenue,Bronx,EMS,3.7696503496503495,143
07X065,P.S. 065 Mother Hale Academy,Bronx,EMS,3.0127906976744185,129
07X379,Jill Chaifetz Transfer High School,Bronx,HST,2.631774193548387,186
07X151,J.H.S. 151 Lou Gehrig,Bronx,EMS,2.604257425742574,101
07X154,P.S. 154 Jonathan D. Hyatt,Bronx,EMS,3.47008547008547,117
07X157,P.S. 157 Grove Hill,Bronx,EMS,2.8484210526315787,133
07X161,P.S. 161 Juan Ponce De Leon School,Bronx,EMS,2.8464788732394366,142
07X179,P.S. 179,Bronx,EMS,2.890090909090909,110
07X221,South Bronx Preparatory: A College Board School,Bronx,EMS,3.742528735632184,174
07X221,South Bronx Preparatory: A College Board School,Bronx,HS,4.0237823834196895,193
07X223,The Laboratory School of Finance and Technology: X223,Bronx,EMS,3.5454761904761907,168
07X223,The Laboratory School of Finance and Technology: X223,Bronx,HS,3.880232558139535,129
07X224,P.S./I.S. 224,Bronx,EMS,2.4933519553072627,179
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",Bronx,HS,2.7757988165680474,169
07X277,P.S. 277,Bronx,EMS,2.9504166666666665,120
07X296,South Bronx Academy for Applied Media,Bronx,EMS,2.898100558659218,179
07X298,Academy of Public Relations,Bronx,EMS,2.8032386363636363,176
07X334,International Community High School,Bronx,HS,3.440314465408805,159
07X343,Academy of Applied Mathematics and Technology,Bronx,EMS,3.8800564971751412,177
07X359,"Leaders of Excellence, Advocacy and Discovery",Bronx,EMS,4.352058823529412,68
07X369,Young Leaders Elementary School,Bronx,EMS,2.8299159663865545,119
07X381,Bronx Haven High School,Bronx,HST,2.9804519774011298,177
07X427,Community School for Social Justice,Bronx,HS,2.9103726708074533,161
07X456,Alfred E. Smith Campus YABC,Bronx,YABC,2.372872340425532,94
07X473,Mott Haven Village Preparatory High School,Bronx,HS,2.32180412371134,194
07X495,University Heights Secondary School,Bronx,HS,4.490902255639098,133
07X500,Hostos-Lincoln Academy of Science,Bronx,EMS,2.942901234567901,162
07X500,Hostos-Lincoln Academy of Science,Bronx,HS,3.4344198895027622,181
08X123,J.H.S. 123 James M. Kieran,Bronx,EMS,2.784331550802139,187
07X522,Bronx Design and Construction Academy,Bronx,HS,2.3785416666666666,192
07X527,Bronx Leadership Academy II High School,Bronx,HS,3.2903000000000002,200
07X548,Careers in Sports High School,Bronx,HS,2.312030456852792,197
07X551,The Urban Assembly Bronx Academy of Letters,Bronx,EMS,2.534655172413793,174
07X551,The Urban Assembly Bronx Academy of Letters,Bronx,HS,3.1274242424242424,198
07X557,Mott Haven Community High School,Bronx,HST,3.809619565217391,184
07X584,I.S. 584,Bronx,EMS,3.0223,100
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,HS,3.284141414141414,198
07X670,Health Opportunities High School,Bronx,HS,2.5572820512820513,195
08X014,P.S. X014 Senator John Calandra,Bronx,EMS,3.1521259842519687,127
08X036,P.S. 036 Unionport,Bronx,EMS,3.257794117647059,136
08X048,P.S. 048 Joseph R. Drake,Bronx,EMS,2.4873381294964028,139
08X062,P.S. 062 Inocensio Casanova,Bronx,EMS,2.9290140845070423,142
