dbn,school_name,school_type,avg_metric_score,n_metric_rows
24Q093,I.S. 093 Ridgewood,Middle,3.243425414364641,181
25Q194,J.H.S. 194 William Carr,Middle,3.467763157894737,152
02M449,Vanguard High School,High School,2.9785443037974684,158
27Q210,J.H.S. 210 Elizabeth Blackwell,Middle,2.8941847826086957,184
02M459,Manhattan International High School,High School,3.2310526315789474,152
27Q475,Richmond Hill High School,High School,2.9724875621890545,201
02M475,Stuyvesant High School,High School,4.6935625,160
14K582,M.S. 582,Middle,3.7854098360655737,183
14K586,Lyons Community School,Middle,2.3495804195804197,143
02M418,Millennium High School,High School,4.487575757575757,165
17K340,I.S. 340,Middle,3.0970967741935485,155
17K722,New Heights Middle School,Middle,2.7931578947368423,171
02M422,Quest to Learn,Middle,2.76,142
02M422,Quest to Learn,High School,2.6124309392265195,181
19K171,I.S. 171 Abraham Lincoln,Middle,2.7720555555555557,180
02M439,Manhattan Village Academy,High School,4.614060606060606,165
21K540,John Dewey High School,High School,2.9378172588832485,197
15K463,Cyberarts Studio Academy,High School,2.607091836734694,196
02M529,Jacqueline Kennedy Onassis High School,High School,2.4935416666666668,192
02M542,Manhattan Bridges High School,High School,4.171846153846154,195
01M292,Orchard Collegiate Academy,High School,3.2588421052631578,190
01M332,University Neighborhood Middle School,Middle,3.002302631578947,152
01M378,School for Global Leaders,Middle,3.387440476190476,168
01M448,University Neighborhood High School,High School,4.21948717948718,195
01M450,East Side Community School,Middle,3.3195,120
01M450,East Side Community School,High School,4.050072463768116,138
01M509,Marta Valle High School,High School,2.7162280701754384,114
01M539,"New Explorations into Science, Technology and Math High School",High School,4.335061728395062,162
01M696,Bard High School Early College,High School,4.2700000000000005,157
01M839,Tompkins Square Middle School,Middle,3.352592592592593,135
02M047,47 The American Sign Language and English Secondary School,High School,3.818978494623656,186
02M500,Unity Center for Urban Technologies,High School,3.8266315789473686,190
02M104,J.H.S. 104 Simon Baruch,Middle,4.00589928057554,139
02M114,East Side Middle School,Middle,4.458264462809917,121
02M131,M.S. 131,Middle,3.4798265895953757,173
02M135,The Urban Assembly Early College High School of Emergency Medicine,High School,3.1541875,160
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,High School,3.0000602409638555,166
02M546,Academy for Software Engineering,High School,3.413791208791209,182
02M167,J.H.S. 167 Robert F. Wagner,Middle,4.012867132867133,143
02M177,Yorkville East Middle School,Middle,4.331311475409836,122
02M255,M.S. 255 Salk School of Science,Middle,4.368534482758621,116
02M260,The Clinton School,Middle,4.28965811965812,117
02M260,The Clinton School,High School,4.279519230769231,104
02M280,Manhattan Early College School for Advertising,High School,3.444397163120567,141
02M282,Urban Assembly Maker Academy,High School,3.048611111111111,144
02M288,Food and Finance High School,High School,3.1359473684210526,190
02M289,I.S. 289,Middle,4.010820895522388,134
02M294,Essex Street Academy,High School,3.7343589743589742,156
02M296,High School of Hospitality Management,High School,2.858351063829787,188
02M297,M.S. 297,Middle,2.6710975609756096,82
02M298,Pace High School,High School,2.6303846153846155,182
02M300,"Urban Assembly School of Design and Construction, The",High School,2.642216494845361,194
09X339,I.S. 339,Middle,3.338111111111111,180
02M303,"Facing History School, The",High School,3.2598765432098764,162
02M305,"Urban Assembly Academy of Government and Law, The",High School,3.2804761904761905,189
02M308,Lower Manhattan Arts Academy,High School,2.9509523809523808,189
02M312,New York City Lab Middle School for Collaborative Studies,Middle,4.393225806451613,124
02M316,"Urban Assembly School of Business for Young Women, the",High School,2.370119760479042,167
12X341,Accion Academy,Middle,3.1679329608938547,179
02M374,Gramercy Arts High School,High School,2.972192513368984,187
02M376,NYC iSchool,High School,4.145029940119761,167
02M392,Manhattan Business Academy,High School,3.4484455958549223,193
02M393,Business Of Sports School,High School,2.9312755102040815,196
02M399,The High School For Language And Diplomacy,High School,2.8272340425531914,188
02M400,High School for Environmental Studies,High School,2.8920918367346937,196
14K050,J.H.S. 050 John D. Wells,Middle,3.8480327868852457,183
02M407,Institute for Collaborative Education,Middle,4.011454545454545,55
02M407,Institute for Collaborative Education,High School,4.074869565217392,115
02M408,Professional Performing Arts High School,Middle,3.849809523809524,105
02M408,Professional Performing Arts High School,High School,3.915542168674699,166
02M411,Baruch College Campus High School,High School,4.573742331288344,163
