school_year,dbn,school_name,report_type,avg_metric_score,n_metric_rows
2017,23K323,P.S./I.S. 323,EMS,2.569166666666667,24
2017,24Q049,P.S. 049 Dorothy Bonawit Kole,EMS,3.2310526315789474,19
2017,02M442,"Ballet Tech, NYC Public School for Dance",EMS,4.252857142857143,14
2017,24Q093,I.S. 093 Ridgewood,EMS,3.1336,25
2017,24Q239,P.S. 239,EMS,3.6666666666666665,21
2017,24Q330,P.S. 330,EMS,2.3065,20
2017,25Q194,J.H.S. 194 William Carr,EMS,3.0233333333333334,18
2017,26Q266,P.S./I.S. 266,EMS,3.286111111111111,18
2017,27Q043,P.S. 043,EMS,2.3772,25
2017,02M449,Vanguard High School,HS,2.9236,25
2017,27Q210,J.H.S. 210 Elizabeth Blackwell,EMS,2.3796296296296298,27
2017,02M459,Manhattan International High School,HS,3.1875999999999998,25
2017,27Q475,Richmond Hill High School,HS,2.857741935483871,31
2017,02M475,Stuyvesant High School,HS,4.62,24
2017,14K582,M.S. 582,EMS,3.957777777777778,27
2017,14K586,Lyons Community School,EMS,1.9991304347826087,23
2017,15K295,P.S. 295,EMS,3.9,15
2017,02M418,Millennium High School,HS,4.3736,25
2017,17K138,P.S. 138 Brooklyn,EMS,3.754,25
2017,17K181,P.S. 181 Brooklyn,EMS,3.0492,25
2017,17K340,I.S. 340,EMS,3.709166666666667,24
2017,17K394,M.S. K394,EMS,2.3645454545454547,22
2017,17K467,Erasmus Yabc,YABC,2.4878260869565216,23
2017,17K722,New Heights Middle School,EMS,2.97375,24
2017,18K066,P.S. 66,EMS,2.9955555555555557,18
2017,02M422,Quest to Learn,EMS,3.0081818181818183,22
2017,02M422,Quest to Learn,HS,2.7276666666666665,30
2017,19K171,I.S. 171 Abraham Lincoln,EMS,2.5907407407407406,27
2017,02M439,Manhattan Village Academy,HS,4.7484,25
2017,20K229,P.S. 229 Dyker,EMS,3.8163636363636364,22
2017,21K121,P.S. 121 Nelson A. Rockefeller,EMS,3.624285714285714,21
2017,21K540,John Dewey High School,HS,3.1496666666666666,30
2017,22K109,P.S. 109,EMS,3.2408333333333332,24
2017,22K245,P.S. 245,EMS,3.278095238095238,21
2018,15K463,Secondary School for Journalism,HS,2.2641935483870967,31
2017,02M529,Jacqueline Kennedy Onassis High School,HS,2.284,30
2017,32K376,P.S. 376,EMS,3.9225,16
2017,02M542,Manhattan Bridges High School,HS,4.198333333333333,30
2017,75K077,P.S. K077,D75,3.163333333333333,3
2017,02M544,Independence High School,HST,2.4015384615384616,26
2017,75K140,P.S. K140,D75,3.5633333333333335,3
2017,75K141,P.S. K141,D75,3.276666666666667,3
2017,75K231,P.S. K231,D75,3.87,3
2017,75K368,P.S. 368,D75,4.196666666666667,3
2017,75M035,P.S. 035,D75,3.6433333333333335,3
2017,75M226,P.S. M226,D75,3.2,3
2017,75Q009,P.S. 009,D75,3.53,3
2017,75Q233,P.S. Q233,D75,2.3666666666666667,3
2017,02M586,Harvey Milk High School,HST,3.47,20
2017,75Q255,P.S. Q255,D75,3.1733333333333333,3
2017,75Q256,P.S. Q256,D75,3.256666666666667,3
2017,75Q277,The Riverview School,D75,3.9066666666666667,3
2017,75Q993,P.S. Q993,D75,2.896666666666667,3
2017,75X010,P.S. X010,D75,3.29,3
2018,01M019,P.S. 019 Asher Levy,EMS,3.508235294117647,17
2018,01M015,P.S. 015 Roberto Clemente,EMS,4.459333333333333,15
2018,01M020,P.S. 020 Anna Silver,EMS,3.082,20
2018,01M034,P.S. 034 Franklin D. Roosevelt,EMS,2.116,25
2018,01M063,The STAR Academy - P.S.63,EMS,3.4144444444444444,9
2018,01M064,P.S. 064 Robert Simon,EMS,3.9233333333333333,15
2018,01M110,P.S. 110 Florence Nightingale,EMS,3.68,13
2017,75X811,P.S. X811,D75,2.6166666666666667,3
2018,01M134,P.S. 134 Henrietta Szold,EMS,3.079473684210526,19
2018,01M140,P.S. 140 Nathan Straus,EMS,2.6696,25
2018,01M142,P.S. 142 Amalia Castro,EMS,3.3131578947368423,19
2018,01M184,P.S. 184m Shuang Wen,EMS,4.3295,20
2018,01M188,P.S. 188 The Island School,EMS,3.5544,25
2018,01M292,Orchard Collegiate Academy,HS,3.8296551724137933,29
2018,01M315,The East Village Community School,EMS,2.775,12
2018,01M332,University Neighborhood Middle School,EMS,2.5054545454545454,22
2018,01M361,The Children's Workshop School,EMS,2.3707142857142856,14
2018,01M363,Neighborhood School,EMS,3.3899999999999997,3
2018,01M364,Earth School,EMS,3.0733333333333333,3
2018,01M378,School for Global Leaders,EMS,2.806923076923077,26
2018,01M448,University Neighborhood High School,HS,4.030344827586207,29
2018,01M450,East Side Community School,EMS,3.35,15
2018,01M450,East Side Community School,HS,3.8255,20
2018,01M458,Forsyth Satellite Academy,HST,2.8545454545454545,22
2018,01M509,Marta Valle High School,HS,3.1076,25
2018,01M515,Lower East Side Preparatory High School,HST,3.1436,25
2018,01M539,"New Explorations into Science, Technology and Math",EMS,4.398571428571429,14
2018,01M539,"New Explorations into Science, Technology and Math",HS,4.5756,25
2018,01M650,Cascades High School,HST,3.188846153846154,26
2018,01M696,Bard High School Early College,HS,4.184347826086957,23
2018,01M839,Tompkins Square Middle School,EMS,4.031111111111111,18
2018,02M001,P.S. 001 Alfred E. Smith,EMS,3.3385,20
2018,02M002,P.S. 002 Meyer London,EMS,3.9833333333333334,15
2018,02M003,P.S. 003 Charrette School,EMS,3.274166666666667,12
2018,02M006,P.S. 006 Lillie D. Blake,EMS,3.8392307692307694,13
2018,02M011,P.S. 011 William T. Harris,EMS,3.4123076923076923,13
2018,02M033,P.S. 033 Chelsea Prep,EMS,2.2864705882352943,17
2018,02M040,P.S. 040 Augustus Saint-Gaudens,EMS,3.6984615384615385,13
2018,02M041,P.S. 041 Greenwich Village,EMS,3.5046153846153847,13
2018,02M042,P.S. 042 Benjamin Altman,EMS,4.027333333333333,15
2018,02M047,47 The American Sign Language and English Secondar,HS,4.235172413793103,29
2018,02M500,Unity Center for Urban Technologies,HS,3.8183333333333334,30
2018,02M051,P.S. 051 Elias Howe,EMS,2.6315384615384616,13
2018,02M059,P.S. 059 Beekman Hill International,EMS,4.056363636363637,11
2018,02M077,P.S. 77 Lower Lab School,EMS,4.476666666666667,9
2018,02M089,P.S. 89,EMS,3.8692307692307693,13
2018,02M104,J.H.S. 104 Simon Baruch,EMS,4.105555555555555,18
2018,02M111,P.S. 111 Adolph S. Ochs,EMS,2.9795,20
2018,02M114,East Side Middle School,EMS,4.58875,16
2018,02M116,P.S. 116 Mary Lindley Murray,EMS,3.4654545454545453,11
2018,02M124,P.S. 124 Yung Wing,EMS,4.640714285714286,14
2018,02M126,P.S. 126 Jacob August Riis,EMS,4.4070833333333335,24
2018,02M130,P.S. 130 Hernando De Soto,EMS,4.0375,16
2018,02M131,M.S. 131,EMS,3.9108,25
2018,02M135,The Urban Assembly School for Emergency Management,HS,3.613103448275862,29
2018,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,HS,3.337,30
2018,02M546,Academy for Software Engineering,HS,3.714,30
2018,02M150,P.S. 150,EMS,4.407777777777778,9
2018,02M151,Yorkville Community School,EMS,3.6346153846153846,13
2018,02M158,P.S. 158 Bayard Taylor,EMS,3.421818181818182,11
2018,02M167,J.H.S. 167 Robert F. Wagner,EMS,3.8872222222222224,18
2018,02M177,Yorkville East Middle School,EMS,4.362777777777778,18
2018,02M183,P.S. 183 Robert L. Stevenson,EMS,3.9115384615384614,13
2018,02M198,P.S. 198 Isador E. Ida Straus,EMS,2.942727272727273,11
2018,02M212,P.S. 212 Midtown West,EMS,3.078181818181818,11
2018,02M217,P.S./I.S. 217 Roosevelt Island,EMS,3.6276190476190475,21
2018,02M225,Ella Baker School,EMS,3.2073684210526316,19
2018,02M234,P.S. 234 Independence School,EMS,3.440769230769231,13
2018,02M255,M.S. 255 Salk School of Science,EMS,4.393125,16
2018,02M260,The Clinton School,EMS,4.60375,16
2018,02M260,The Clinton School,HS,4.014117647058823,17
2018,02M267,"East Side Elementary School, PS 267",EMS,3.9754545454545456,11
2018,02M276,Battery Park City School,EMS,4.07125,16
2018,02M280,Manhattan Early College School for Advertising,HS,3.8375,24
2018,02M281,The River School,EMS,4.286153846153846,13
2018,02M282,Urban Assembly Maker Academy,HS,3.203478260869565,23
2018,02M288,Food and Finance High School,HS,3.19,30
2018,02M289,I.S. 289,EMS,3.9085,20
2018,02M290,P.S. 290 Manhattan New School,EMS,3.8676923076923075,13
2018,02M294,Essex Street Academy,HS,3.9904,25
2018,02M296,High School of Hospitality Management,HS,3.2293333333333334,30
2018,02M297,M.S. 297,EMS,3.273125,16
2018,02M298,Pace High School,HS,2.8410344827586207,29
2018,02M300,"Urban Assembly School of Design and Construction,",HS,2.830322580645161,31
2016,09X339,I.S. 339,EMS,3.085185185185185,27
2018,02M303,"Facing History School, The",HS,3.536923076923077,26
2018,02M305,"Urban Assembly Academy of Government and Law, The",HS,3.304666666666667,30
2018,02M308,Lower Manhattan Arts Academy,HS,3.0556666666666668,30
2018,02M312,New York City Lab Middle School for Collaborative,EMS,4.46125,16
2018,02M313,"James Baldwin School, The: A School for Expedition",HST,3.395909090909091,22
2018,02M316,"Urban Assembly School of Business for Young Women,",HS,2.3064285714285715,28
2016,12X341,Accion Academy,EMS,3.4796153846153848,26
2018,02M343,The Peck Slip School,EMS,3.829090909090909,11
2018,02M347,The 47 American Sign Language & English Lower Scho,EMS,4.209545454545455,22
2018,02M374,Gramercy Arts High School,HS,2.6973076923076924,26
2018,02M376,NYC iSchool,HS,4.1284,25
2018,02M392,Manhattan Business Academy,HS,3.220689655172414,29
2018,02M393,Business Of Sports School,HS,3.128709677419355,31
2018,02M394,Emma Lazarus High School,HST,4.195416666666667,24
2018,02M397,Spruce Street School,EMS,3.98,16
2018,02M399,The High School For Language And Diplomacy,HS,3.0070967741935486,31
2018,02M400,High School for Environmental Studies,HS,2.9996666666666667,30
2016,14K050,J.H.S. 050 John D. Wells,EMS,3.2688888888888887,27
2018,02M407,Institute for Collaborative Education,EMS,4.2542857142857144,7
2018,02M407,Institute for Collaborative Education,HS,3.878823529411765,17
2018,02M408,Professional Performing Arts High School,EMS,3.445,16
2018,02M408,Professional Performing Arts High School,HS,3.878,25
2018,02M411,Baruch College Campus High School,HS,4.5988,25
2018,02M412,N.Y.C. Lab School for Collaborative Studies,HS,4.3828,25
2018,02M413,School of the Future High School,EMS,3.546666666666667,15
2018,02M413,School of the Future High School,HS,4.404,20
2018,02M414,N.Y.C. Museum School,HS,4.414583333333333,24
2016,26Q415,Benjamin N. Cardozo High School,HS,2.912,25
2018,02M416,Eleanor Roosevelt High School,HS,4.5424,25
2018,02M418,Millennium High School,HS,4.6056,25
2016,27Q043,P.S. 043,EMS,2.1196,25
2018,02M419,Landmark High School,HS,3.1684,25
2018,02M420,High School for Health Professions and Human Servi,HS,3.9389285714285713,28
2018,04M206,P.S. 206 Jose Celso Barbosa,EMS,3.0637037037037036,27
2018,02M422,Quest to Learn,EMS,3.408,20
2018,02M422,Quest to Learn,HS,2.91,30
2018,02M425,Leadership and Public Service High School,HS,3.226,30
2016,27Q183,P.S. 183 Dr. Richard R. Green,EMS,2.76625,24
2018,02M427,Manhattan Academy For Arts & Language,HS,2.847931034482759,29
2018,02M432,Murray Hill Academy,HS,3.3076666666666665,30
2018,02M437,Hudson High School of Learning Technologies,HS,2.83,31
2016,27Q232,P.S. 232 Lindenwood,EMS,3.5925,20
2018,02M438,International High School at Union Square,HS,3.521153846153846,26
2018,02M439,Manhattan Village Academy,HS,4.7928,25
2016,27Q333,Goldie Maple Academy,EMS,2.513888888888889,18
2018,02M442,"Ballet Tech, NYC Public School for Dance",EMS,4.131428571428572,14
2018,02M449,Vanguard High School,HS,2.7264,25
2018,02M459,Manhattan International High School,HS,3.111666666666667,24
2018,02M473,Washington Irving Yabc,YABC,3.590869565217391,23
2018,02M475,Stuyvesant High School,HS,4.7175,24
2018,02M489,High School of Economics and Finance,HS,3.477666666666667,30
2016,28Q358,M.S. 358,EMS,3.3336,25
2016,29Q034,P.S. 034 John Harvard,EMS,3.3922222222222222,18
2016,30Q078,P.S./I.S. 78Q,EMS,3.8689999999999998,20
2018,02M507,Urban Assembly Gateway School for Technology,HS,4.074,30
2018,02M519,Talent Unlimited High School,HS,4.0504,25
2017,02M655,Life Sciences Secondary School,HS,2.053,30
2018,02M520,Murry Bergtraum High School for Business Careers,HS,2.5351612903225806,31
2016,30Q112,P.S. 112 Dutch Kills,EMS,4.389,20
2016,30Q235,Academy for New Americans,EMS,2.7905555555555557,18
2018,02M527,P.S. 527 - East Side School for Social Action,EMS,3.7354545454545454,11
2018,02M529,Jacqueline Kennedy Onassis High School,HS,2.3235483870967744,31
2018,02M531,Repertory Company High School for Theatre Arts,HS,4.187307692307693,26
2016,31R034,I.S. 034 Tottenville,EMS,4.09,18
