dbn,school_name,report_type,n_metrics_compared,n_metrics_below_avg,pct_metrics_below_avg,any_below_avg
23K323,P.S./I.S. 323,EMS,197,132,67.0,True
24Q049,P.S. 049 Dorothy Bonawit Kole,EMS,221,143,64.7,True
02M442,"Ballet Tech, NYC Public School for Dance",EMS,153,33,21.6,True
24Q093,I.S. 093 Ridgewood,EMS,227,127,55.9,True
24Q239,P.S. 239,EMS,176,103,58.5,True
24Q330,Helen M. Marshall School,EMS,180,100,55.6,True
25Q130,P.S. 130,EMS,120,16,13.3,True
25Q194,J.H.S. 194 William Carr,EMS,222,174,78.4,True
26Q266,P.S./I.S. 266,EMS,217,115,53.0,True
27Q043,P.S. 043,EMS,211,173,82.0,True
02M449,Vanguard High School,HS,243,148,60.9,True
27Q210,J.H.S. 210 Elizabeth Blackwell,EMS,240,149,62.1,True
02M459,Manhattan International High School,HS,227,86,37.9,True
27Q475,Richmond Hill High School,HS,371,190,51.2,True
02M473,Washington Irving Yabc,YABC,95,41,43.2,True
02M475,Stuyvesant High School,HS,313,148,47.3,True
14K582,M.S. 582,EMS,214,57,26.6,True
14K586,Lyons Community School,EMS,176,146,83.0,True
15K295,P.S. 295,EMS,157,35,22.3,True
02M418,Millennium High School,HS,286,54,18.9,True
17K138,P.S. 138 Brooklyn,EMS,206,83,40.3,True
17K181,P.S. 181 Brooklyn,EMS,212,151,71.2,True
17K340,I.S. 340,EMS,195,107,54.9,True
17K394,M.S. K394,EMS,194,146,75.3,True
17K467,Erasmus Yabc,YABC,97,63,64.9,True
17K722,New Heights Middle School,EMS,213,143,67.1,True
18K066,P.S. 66,EMS,210,153,72.9,True
02M422,Quest to Learn,EMS,193,143,74.1,True
18K219,P.S. 219 Kennedy-King,EMS,172,135,78.5,True
02M422,Quest to Learn,HS,272,195,71.7,True
19K171,I.S. 171 Abraham Lincoln,EMS,218,164,75.2,True
19K325,The Fresh Creek School,EMS,128,52,40.6,True
02M439,Manhattan Village Academy,HS,293,32,10.9,True
20K229,P.S. 229 Dyker,EMS,217,72,33.2,True
21K121,P.S. 121 Nelson A. Rockefeller,EMS,197,54,27.4,True
21K540,John Dewey High School,HS,361,228,63.2,True
22K109,P.S. 109,EMS,208,98,47.1,True
22K245,P.S. 245,EMS,162,36,22.2,True
02M546,Academy for Software Engineering,HS,292,111,38.0,True
15K463,Cyberarts Studio Academy,HS,286,182,63.6,True
02M529,Jacqueline Kennedy Onassis High School,HS,273,199,72.9,True
32K376,P.S. 376,EMS,155,49,31.6,True
02M542,Manhattan Bridges High School,HS,252,12,4.8,True
02M544,Independence High School,HST,209,164,78.5,True
02M586,Harvey Milk High School,HST,119,70,58.8,True
01M019,P.S. 019 Asher Levy,EMS,97,43,44.3,True
02M126,P.S. 126 Jacob August Riis,EMS,221,50,22.6,True
01M015,P.S. 015 Roberto Clemente,EMS,137,29,21.2,True
01M020,P.S. 020 Anna Silver,EMS,168,135,80.4,True
