metric_variable_name,plain_english_label
attend_increase_mean_all,Average Change in Student Attendance
attendance_hs_all,Average Student Attendance (through Feb-2020 only)
attendance_inperson_all,Average Student Attendance - In-person days
attendance_inperson_hs_all,Average Student Attendance - In-person days
attendance_inperson_k3_all,Average Student Attendance - In-person days
attendance_inperson_k8_all,Average Student Attendance - In-person days
attendance_k3_all,Average Student Attendance (through Feb-2020 only)
attendance_k8_all,Average Student Attendance (through Feb-2020 only)
attendance_remote_all,Average Student Attendance - Remote days
attendance_remote_hs_all,Average Student Attendance - Remote days
attendance_remote_k3_all,Average Student Attendance - Remote days
attendance_remote_k8_all,Average Student Attendance - Remote days
ccr_4yr_all,4-Year College and Career Readiness - All Students
ccr_6yr_all,Transfer School College and Career Readiness - All Students
ccr_6yr_growth_all,Growth in Transfer School College and Career Readiness - All Students
chronic_absent_all,Percentage of Students with 90%+ Attendance (through Feb-2020 only)
chronic_absent_ems_all,Percentage of Students with 90%+ Attendance (through Feb-2020 only)
chronic_absent_hs_all,Percentage of Students with 90%+ Attendance (through Feb-2020 only)
cohort_pct_act_engl_all,% of students in the current cohort who took the ACT English exam
cohort_pct_act_math_all,% of students in the current cohort who took the ACT Math exam
cohort_pct_act_read_all,% of students in the current cohort who took the ACT Reading exam
cohort_pct_act_scie_all,% of students in the current cohort who took the ACT Science exam
cohort_pct_cat_mth2_all,% of cohort who took the CUNY Math 2 exam
cohort_pct_cat_mth5_all,% of cohort who took the CUNY Math 5 exam
cohort_pct_cat_read_all,% of cohort who took the CUNY Reading exam
cohort_pct_cat_writ_all,% of cohort who took the CUNY Writing exam
cohort_pct_sat_math_all,% of students in the current cohort who took the SAT Math exam
cohort_pct_sat_writ_all,% of students in the current cohort who took the SAT Reading and Writing exam
cri6_persist_all,6-Year College Readiness Index with Persistence
ele_core_all,MS Adjusted Core Course Pass Rate of Former Students
grad_pct_4_all,4-Year Graduation Rate - All Students
grad_pct_4_nonnysaa_all,4-Year Graduation Rate - Excluding NYSAA
grad_pct_6_all,YABC Graduation Rate
grad_pct_6_nonnysaa_all,6-Year Graduation Rate - Excluding NYSAA
hs_9gr_credits_all,9th Grade Adjusted Credit Accumulation of Former 8th Graders
interaction_all,Average Student Interaction Rate (From Apr-2020 only)
interaction_hs_all,Average Student Interaction Rate (From Apr-2020 only)
interaction_k3_all,Average Student Interaction Rate (From Apr-2020 only)
interaction_k8_all,Average Student Interaction Rate (From Apr-2020 only)
lre_all,Movement of Students with IEPs to Less Restrictive Environments
mean_score_act_engl_all,Average score of students in the current cohort who took the ACT English exam
